Land;Region;Region;Rangliste;Soziale Unterstützung;Freiheit;Korruption;Spende;Großzügigkeit;positive Beeinflussung;negative Beeinflussung;Happiness ;Lebenserwartung;BIP Skaliert;Gini-Index;Arbeitslosigkeit;Christen;Juden;Islam;Buddhisten;Hinduisten;Atheisten;CHRSGEN;JUDGEN;ISLMGEN;BUDGEN;HINDGEN;NONRELIG;POP
Afghanistan;4;Südasien;4,04;0,525;0,54;0,755;0,348;0,207;0,663;0,27;0,721;36,535;0,020365709;0,28;0,085;0,000269889;0;0,995555556;9,26E-05;0,000296296;0,002037037;7287;0;26880000;2500;8000;55000;27000000
Argentinien;6;Latein Amerika und Karibik;6,562;0,906;0,764;0,81;0,199;-0,15;0,847;0,238;0,813;65,543;0,299120052;0,445;0,077;0,851502867;0,006806932;0,015123765;0,000179109;4,87E-05;0,119999999;34400709;275000;611000;7236;1967;4847999;40399992
Australien;2;Gemeinschaft unabhäniger Staaten;;;;;;;;;;;;0,3494;0,052;0,61451729;0,004548364;0,022256542;0,024718551;0,008411215;0,310113785;13150670;97335;476290;528977;180000;6636435;21400000
Bangladesch;4;Südasien;4,804;0,58;0,707;0,767;0,161;-0,025;0,691;0,215;0,702;54,965;0,031682303;0,3198;0,045;0,000199999;0,001201705;0,896999992;0,005999999;0,089999994;0,000791503;29458;177000;132119746;883744;13256161;116581;147290688
Brasilien;6;Latein Amerika und Karibik;6,849;0,904;0,829;0,646;0,252;-0,07;0,794;0,288;0,853;60,5;0,20681908;0,535;0,079;0,88234806;0,000560927;0,000184356;0,001279122;2,98E-05;0,085;168313010;107000;35167;244000;5675;16214243;190755800
Bulgarien;1;Mittel-Osteuropa;3,981;0,846;0,599;0,945;0,154;-0,179;0,55;0,246;0,456;66,051;0,240623245;0,3565;0,102;0,822704594;0,000265127;0,128851681;0;0;0,047281939;6206119;2000;972000;0;0;356674;7543557
China;5;Ostasien;4,978;0,782;0,812;0,808;0,115;-0,186;0,808;0,153;0,785;64,726;0,145472322;0,4206;0,042;0,058007669;1,92E-06;0,024999999;0,126;1,38E-05;0,325;78030424;2579;33629356;169491958;18572;437181638;1345174272
Costa Rica;6;Latein Amerika und Karibik;7,257;0,903;0,912;0,802;0,341;0,015;0,886;0,251;0,881;67,385;0,217178756;0,481;0,073;0,882188989;0,000853933;0;0,000269663;0,125393258;0,1;3925741;3800;0;1200;558000;445000;4450000
Deutschland;0;West Europa;6,672;0,942;0,894;0,678;0,451;0,046;0,799;0,168;0,865;73,065;0,708452081;0,3114;0,071;0,707817831;0,001456567;0,024480111;0,002998814;0,001193405;0,229999994;57827992;119000;2000000;245000;97500;18790764;81698976
Ecuador;6;Latein Amerika und Karibik;5,865;0,814;0,779;0,745;0,191;-0,11;0,845;0,275;0,837;62,47;0,151921117;0,4925;0,05;0,902962253;7,04E-05;0,000105566;0,000525014;0;0,084999941;12830327;1000;1500;7460;0;1207777;14209151
Georgien;2;Gemeinschaft unabhäniger Staaten;4,187;0,525;0,616;0,375;0,032;-0,235;0,525;0,246;0,527;64,93;0,094942897;0,4213;0,163;0,797999907;0,002695179;0,098999999;0;0;0,087593326;3553010;12000;440787;0;0;390000;4452394
Großbritanien;0;West Europa;6,883;0,947;0,887;0,448;0,744;0,339;0,845;0,18;0,873;71,645;0,682261655;0,3481;0,079;0,626253487;0,004227828;0,043403562;0,003999992;0,013133596;0,261627027;38957273;263000;2700000;248827;817000;16275000;62206876
